time (epoch),weight (kg)
1481044500.0,60.14
1481045400.0,60.18
1481046300.0,60.18
1481047200.0,60.17
1481048100.0,60.18
1481049000.0,60.2
1481049900.0,60.2
1481050800.0,60.18
1481051700.0,60.15
1481052600.0,60.14
1481053500.0,60.09
1481054400.0,60.04
1481055300.0,60.02
1481056200.0,60.04
1481057100.0,60.05
1481058000.0,60.05
1481058900.0,60.0
1481059800.0,59.96
1481060700.0,59.91
1481061600.0,59.89
1481062500.0,59.87
1481063400.0,59.85
1481064300.0,59.82
1481065200.0,59.79
1481066100.0,59.8
1481067000.0,59.8
1481067900.0,59.76
1481068800.0,59.81
1481069700.0,59.78
1481070600.0,59.83
1481071500.0,59.85
1481072400.0,59.79
1481073300.0,59.82
1481074200.0,59.87
1481075100.0,59.86
1481076000.0,59.76
1481076900.0,59.87
1481077800.0,59.84
1481078700.0,59.9
1481079600.0,59.89
1481080500.0,59.91
1481081400.0,59.83
1481082300.0,59.89
1481083200.0,59.88
1481084100.0,59.88
1481085000.0,59.87
1481085900.0,59.89
1481086800.0,59.91
1481087700.0,59.8
1481088600.0,59.88
1481089500.0,59.89
1481090400.0,59.89
1481091300.0,59.94
1481092200.0,59.92
1481093100.0,59.9
1481094000.0,59.91
1481094900.0,59.93
1481095800.0,59.95
1481096700.0,59.93
1481097600.0,59.95
1481098500.0,59.93
1481099400.0,59.95
1481100300.0,59.94
1481101200.0,59.97
1481102100.0,59.96
1481103000.0,59.95
1481103900.0,59.97
1481104800.0,59.95
1481105700.0,59.95
1481106600.0,59.95
1481107500.0,59.94
1481108400.0,59.95
1481109300.0,59.94
1481110200.0,59.96
1481111100.0,59.94
1481112000.0,59.93
1481112900.0,59.94
1481113800.0,59.93
1481114700.0,59.93
1481115600.0,59.92
1481116500.0,59.92
1481117400.0,59.93
1481118300.0,59.94
1481119200.0,59.91
1481120100.0,59.93
1481121000.0,59.94
1481121900.0,59.95
1481122800.0,59.92
1481123700.0,59.97
1481124600.0,60.01
1481125500.0,60.12
1481126400.0,60.21
1481127300.0,60.28
1481128200.0,60.3
1481129100.0,60.34
1481130000.0,60.34
1481130900.0,60.42
1481131800.0,60.38
1481132700.0,60.37
1481133600.0,60.38
1481134500.0,60.33
1481135400.0,60.35
1481136300.0,60.34
1481137200.0,60.35
1481138100.0,60.33
1481139000.0,60.33
1481139900.0,60.3
1481140800.0,60.32
1481141700.0,60.31
1481142600.0,60.28
1481143500.0,60.21
1481144400.0,60.14
1481145300.0,60.13
1481146200.0,60.12
1481147100.0,60.05
1481148000.0,60.05
1481148900.0,60.0
1481149800.0,60.03
1481150700.0,59.97
1481151600.0,60.03
1481152500.0,59.98
1481153400.0,59.98
1481154300.0,60.0
1481155200.0,59.99
1481156100.0,59.97
1481157000.0,59.99
1481157900.0,59.96
1481158800.0,59.95
1481159700.0,59.96
1481160600.0,59.94
1481161500.0,59.93
1481162400.0,59.96
1481163300.0,59.96
1481164200.0,59.97
1481165100.0,59.95
1481166000.0,59.98
1481166900.0,59.96
1481167800.0,59.93
1481168700.0,59.95
1481169600.0,59.94
1481170500.0,59.92
1481171400.0,59.93
1481172300.0,59.94
1481173200.0,59.93
1481174100.0,59.94
1481175000.0,59.96
1481175900.0,59.96
1481176800.0,59.97
1481177700.0,59.96
1481178600.0,59.98
1481179500.0,59.95
1481180400.0,59.95
1481181300.0,59.96
1481182200.0,59.97
1481183100.0,59.94
1481184000.0,59.97
1481184900.0,59.95
1481185800.0,59.97
1481186700.0,59.98
1481187600.0,59.99
1481188500.0,60.02
1481189400.0,59.98
1481190300.0,60.0
1481191200.0,60.0
1481192100.0,59.97
1481193000.0,59.98
1481193900.0,60.0
1481194800.0,59.99
1481195700.0,59.99
1481196600.0,59.98
1481197500.0,59.96
1481198400.0,59.97
1481199300.0,60.0
1481200200.0,59.97
1481201100.0,59.91
1481202000.0,59.92
1481202900.0,59.87
1481203800.0,59.88
1481204700.0,59.88
1481205600.0,59.88
1481206500.0,59.88
1481207400.0,59.85
1481208300.0,59.91
1481209200.0,59.88
1481210100.0,59.89
1481211000.0,59.9
1481211900.0,59.89
1481212800.0,59.91
1481213700.0,59.9
1481214600.0,59.91
1481215500.0,59.93
1481216400.0,59.9
1481217300.0,59.9
1481218200.0,59.93
